Driver,Nationality,Team,Points,driverRef,Year
Esteban Gutierrez,MEX,HAAS FERRARI,0.0,gutierrez,2016
Marcus Ericsson,SWE,SAUBER FERRARI,0.0,ericsson,2016
Esteban Ocon,FRA,MRT MERCEDES,0.0,ocon,2016
Rio Haryanto,INA,MRT MERCEDES,0.0,haryanto,2016
Lewis Hamilton,GBR,MERCEDES,93.0,hamilton,2015
Nico Rosberg,GER,MERCEDES,66.0,rosberg,2015
Sebastian Vettel,GER,FERRARI,65.0,vettel,2015
Kimi Räikkönen,FIN,FERRARI,42.0,raikkonen,2015
Felipe Massa,BRA,WILLIAMS MERCEDES,31.0,massa,2015
Valtteri Bottas,FIN,WILLIAMS MERCEDES,30.0,bottas,2015
Daniel Ricciardo,AUS,RED BULL RACING RENAULT,19.0,ricciardo,2015
Felipe Nasr,BRA,SAUBER FERRARI,14.0,nasr,2015
Romain Grosjean,FRA,LOTUS MERCEDES,12.0,grosjean,2015
Nico Hulkenberg,GER,FORCE INDIA MERCEDES,6.0,hulkenberg,2015
Max Verstappen,NED,STR RENAULT,6.0,max_verstappen,2015
Carlos Sainz,ESP,STR RENAULT,6.0,sainz,2015
Sergio Perez,MEX,FORCE INDIA MERCEDES,5.0,perez,2015
Marcus Ericsson,SWE,SAUBER FERRARI,5.0,ericsson,2015
Daniil Kvyat,RUS,RED BULL RACING RENAULT,4.0,kvyat,2015
Pastor Maldonado,VEN,LOTUS MERCEDES,0.0,maldonado,2015
Jenson Button,GBR,MCLAREN HONDA,0.0,button,2015
Fernando Alonso,ESP,MCLAREN HONDA,0.0,alonso,2015
Roberto Merhi,ESP,MARUSSIA FERRARI,0.0,merhi,2015
Will Stevens,GBR,MARUSSIA FERRARI,0.0,stevens,2015
Nico Rosberg,GER,MERCEDES,79.0,rosberg,2014
Lewis Hamilton,GBR,MERCEDES,75.0,hamilton,2014
Fernando Alonso,ESP,FERRARI,41.0,alonso,2014
Nico Hulkenberg,GER,FORCE INDIA MERCEDES,36.0,hulkenberg,2014
Sebastian Vettel,GER,RED BULL RACING RENAULT,33.0,vettel,2014
Daniel Ricciardo,AUS,RED BULL RACING RENAULT,24.0,ricciardo,2014
Valtteri Bottas,FIN,WILLIAMS MERCEDES,24.0,bottas,2014
Jenson Button,GBR,MCLAREN MERCEDES,23.0,button,2014
Kevin Magnussen,DEN,MCLAREN MERCEDES,20.0,kevin_magnussen,2014
Sergio Perez,MEX,FORCE INDIA MERCEDES,18.0,perez,2014
