Grand Prix,Cause,Deployed (lap),Called in (lap),Number of full laps,Year
Belgian Grand Prix,Accident,1,4,2,2018
Italian Grand Prix,Accident,1,3,1,2018
Singapore Grand Prix,Accident,1,4,2,2018
Japanese Grand Prix,Debris from accident,4,7,2,2018
Abu Dhabi Grand Prix,Accident,1,4,2,2018
German Grand Prix,Accident,52,57,4,2018
British Grand Prix,Accident,2,4,1,2017
Chinese Grand Prix,Accident,4,8,3,2017
Bahrain Grand Prix,Accident,13,16,2,2017
Canadian Grand Prix,Accident,1,3,1,2017
Monaco Grand Prix,Accident,60,66,5,2017
Azerbaijan Grand Prix,Stranded car,12,16,3,2017
Azerbaijan Grand Prix,Debris from car,17,19,1,2017
Azerbaijan Grand Prix,Debris from accident,20,23 (After red flag),2,2017
Russian Grand Prix,Accident,1,3,1,2017
Hungarian Grand Prix,Accident,1,5,3,2017
Singapore Grand Prix,Accident,1,4,2,2017
Singapore Grand Prix,Accident,11,14,2,2017
Singapore Grand Prix,Accident,38,41,2,2017
Japanese Grand Prix,Accident,2,3,0,2017
Brazilian Grand Prix,Accident,1,5,3,2017
Belgian Grand Prix,Debris from accident,30,33,2,2017
Belgian Grand Prix,Accident,6,10,3,2016
Australian Grand Prix,Accident,18,19 (After red flag),0,2016
Chinese Grand Prix,Debris from car,4,10,5,2016
Russian Grand Prix,Accident,1,4,2,2016
Monaco Grand Prix,Rain,1 (Race started behind SC),8,7,2016
Austrian Grand Prix,Debris from car,27,31,3,2016
British Grand Prix,Rain,1 (Race started behind SC),6,5,2016
Singapore Grand Prix,Accident,1,2,0,2016
Mexican Grand Prix,Accident,1,4,2,2016
Brazilian Grand Prix,Rain,1 (Race started behind SC),7,6,2016
Brazilian Grand Prix,Accident,13,20 (Red Flag),6,2016
Brazilian Grand Prix,Rain,21 (Race resumed behind SC),32 (After red flag),11,2016
Brazilian Grand Prix,Accident,48,55,6,2016
Hungarian Grand Prix,Accident,44,48,3,2015
Malaysian Grand Prix,Accident,4,7,2,2015
Chinese Grand Prix,Stranded car,54,NA (Race finished behind SC),1,2015
Monaco Grand Prix,Accident,64,70,5,2015
Austrian Grand Prix,Accident,1,7,5,2015
Australian Grand Prix,Accident,1,4,2,2015
British Grand Prix,Accident,1,4,2,2015
Russian Grand Prix,Accident,1,4,2,2015
Singapore Grand Prix,Debris from accident,15,18,2,2015
Russian Grand Prix,Accident,12,18,5,2015
United States Grand Prix,Stranded car,27,32,4,2015
United States Grand Prix,Accident,43,47,3,2015
Mexican Grand Prix,Accident,52,57,4,2015
Singapore Grand Prix,Man on track,37,40,2,2015
German Grand Prix,Accident,1,3,1,2014
Australian Grand Prix,Debris from car,12,16,3,2014
Bahrain Grand Prix,Accident,42,46,3,2014
Monaco Grand Prix,Accident,26,30,3,2014
Canadian Grand Prix,Accident,1,8,6,2014
Canadian Grand Prix,Accident,68,70 (finished under the SC),1,2014
British Grand Prix,Accident,1,2 (After red flag),0,2014
Monaco Grand Prix,Accident,1,5,3,2014
Hungarian Grand Prix,Two accidents,8,14,5,2014
