Team,Points,constructorRef,Year
JORDAN MUGEN HONDA,8.0,jordan,2000
BAR HONDA,6.0,bar,2000
SAUBER PETRONAS,1.0,sauber,2000
ARROWS SUPERTEC,0.0,arrows,2000
JAGUAR COSWORTH,0.0,jaguar,2000
FERRARI,44.0,ferrari,1999
MCLAREN MERCEDES,20.0,mclaren,1999
JORDAN MUGEN HONDA,16.0,jordan,1999
BENETTON PLAYLIFE,8.0,benetton,1999
WILLIAMS SUPERTEC,7.0,williams,1999
STEWART FORD,6.0,stewart,1999
PROST PEUGEOT,1.0,prost,1999
SAUBER PETRONAS,1.0,sauber,1999
ARROWS,1.0,arrows,1999
MINARDI FORD,0.0,minardi,1999
MCLAREN MERCEDES,49.0,mclaren,1998
FERRARI,31.0,ferrari,1998
WILLIAMS MECACHROME,13.0,williams,1998
BENETTON PLAYLIFE,7.0,benetton,1998
SAUBER PETRONAS,4.0,sauber,1998
JORDAN MUGEN HONDA,0.0,jordan,1998
ARROWS,0.0,arrows,1998
STEWART FORD,0.0,stewart,1998
PROST PEUGEOT,0.0,prost,1998
FERRARI,38.0,ferrari,1997
WILLIAMS RENAULT,30.0,williams,1997
MCLAREN MERCEDES,20.0,mclaren,1997
BENETTON RENAULT,13.0,benetton,1997
PROST MUGEN HONDA,9.0,prost,1997
JORDAN PEUGEOT,8.0,jordan,1997
STEWART FORD,6.0,stewart,1997
SAUBER PETRONAS,4.0,sauber,1997
TYRRELL FORD,2.0,tyrrell,1997
ARROWS YAMAHA,0.0,arrows,1997
WILLIAMS RENAULT,65.0,williams,1996
FERRARI,25.0,ferrari,1996
BENETTON RENAULT,22.0,benetton,1996
MCLAREN MERCEDES,16.0,mclaren,1996
LIGIER MUGEN HONDA,11.0,ligier,1996
JORDAN PEUGEOT,8.0,jordan,1996
SAUBER FORD,7.0,sauber,1996
TYRRELL YAMAHA,5.0,tyrrell,1996
FOOTWORK HART,1.0,footwork,1996
